num_agents,edge_density,graph_type,dsan_temperature,num_actions,num_iterations,cost_range,y
75,0.5,barabasi_albert,10.0,6,100,51,19.164383561643834
100,0.25,barabasi_albert,10.0,8,50,101,36.27891156462585
90,0.9,barabasi_albert,0.75,3,200,4,1.7088607594936709
90,0.5,erdos_renyi,1.0,2,1000,51,23.791788268447586
10,0.9,erdos_renyi,10.0,7,100,4,1.8387723387723387
90,0.99,erdos_renyi,0.75,5,1000,501,232.39689013125033
50,0.9,barabasi_albert,10.0,5,200,4,1.8255813953488371
75,0.75,erdos_renyi,10.0,6,50,11,5.218225793877483
90,0.99,erdos_renyi,2.0,3,50,51,23.779026509932034
100,0.5,complete,0.75,2,1000,51,24.038114478114476
50,0.5,complete,2.0,7,1000,501,223.25762527233113
75,0.25,erdos_renyi,0.75,10,100,51,23.02797422294763
100,0.1,complete,10.0,3,500,4,1.9050505050505049
75,0.75,barabasi_albert,5.0,3,500,501,184.18042813455656
90,0.25,complete,10.0,6,200,51,22.662670662670664
50,0.99,complete,2.0,2,200,4,1.908965896589659
50,0.25,barabasi_albert,10.0,3,100,101,31.624999999999996
75,0.5,barabasi_albert,10.0,5,200,11,4.771689497716895
75,0.99,barabasi_albert,5.0,9,1000,101,38.949074074074076
75,0.9,barabasi_albert,0.75,8,500,101,38.23155216284987
10,0.25,barabasi_albert,1.0,3,100,4,1.25
10,0.1,barabasi_albert,0.75,6,100,4,1.0
90,0.5,barabasi_albert,0.75,3,200,101,35.878787878787875
25,0.25,barabasi_albert,2.0,9,500,501,124.48484848484848
75,0.75,erdos_renyi,0.75,4,50,501,228.37268923214387
75,0.99,erdos_renyi,1.0,6,500,4,1.8982932938350705
100,0.75,erdos_renyi,1.0,6,1000,11,5.140163596190742
90,0.75,complete,2.0,9,200,101,47.53635253635253
90,0.5,complete,0.75,4,200,501,223.55311355311355
75,0.75,complete,2.0,2,50,101,47.092263334935126
90,0.1,barabasi_albert,2.0,4,500,101,24.196078431372552
25,0.1,complete,2.0,5,100,101,28.599999999999998
10,0.75,complete,2.0,8,200,11,3.616161616161616
10,0.75,complete,10.0,8,100,101,34.84848484848485
90,0.5,complete,2.0,7,1000,101,46.18448218448219
50,0.99,barabasi_albert,10.0,3,200,4,1.8210526315789473
75,0.9,complete,5.0,9,100,101,47.94152983580296
75,0.25,barabasi_albert,2.0,3,100,101,30.175925925925924
100,0.9,complete,2.0,7,50,11,5.229928918817808
75,0.5,barabasi_albert,1.0,3,500,101,36.03196347031963
75,0.25,barabasi_albert,5.0,7,50,101,29.740740740740737
100,0.5,barabasi_albert,2.0,7,50,51,16.23469387755102
10,0.25,barabasi_albert,2.0,10,500,4,1.3333333333333333
90,0.1,erdos_renyi,1.0,10,500,101,41.90590834908786
75,0.25,complete,2.0,8,50,101,44.925925925925924
90,0.25,barabasi_albert,5.0,10,1000,51,16.916666666666668
100,0.5,erdos_renyi,2.0,9,200,11,5.20798430785034
10,0.1,complete,2.0,2,1000,51,13.666666666666666
90,0.1,complete,2.0,10,50,51,22.25583333333333
75,0.5,complete,0.75,4,500,501,220.06633020908438
100,0.99,complete,5.0,6,500,11,5.21517006802721
100,0.1,erdos_renyi,1.0,5,1000,101,39.43859101893064
25,0.75,erdos_renyi,0.75,7,500,4,1.7801937291506826
75,0.75,barabasi_albert,0.75,7,1000,501,174.08256880733947
