num_agents,edge_density,graph_type,dsan_temperature,num_actions,num_iterations,cost_range,y
10,0.1,complete,5.0,2,50,101,35.125
100,0.25,complete,0.75,9,100,4,1.8977364591754249
100,0.1,barabasi_albert,0.75,7,50,51,15.494736842105263
50,0.9,barabasi_albert,5.0,9,500,4,1.8802325581395347
10,0.9,erdos_renyi,1.0,9,500,11,4.552406101788658
90,0.75,complete,5.0,5,500,51,23.714152514152513
100,0.5,erdos_renyi,2.0,9,100,101,47.70795593703108
75,0.1,barabasi_albert,2.0,3,50,11,3.7357142857142853
25,0.75,complete,1.0,9,500,51,22.70311111111111
75,0.1,erdos_renyi,2.0,10,50,4,1.9046817707350256
25,0.75,erdos_renyi,0.75,9,200,11,4.905788991825821
10,0.1,erdos_renyi,1.0,7,200,11,3.054206349206349
75,0.75,barabasi_albert,0.75,5,500,11,4.0944954128440365
10,0.5,complete,2.0,10,1000,11,4.327272727272727
75,0.99,erdos_renyi,5.0,9,500,4,1.9567629791294514
100,0.9,barabasi_albert,0.75,4,100,4,1.727840909090909
50,0.1,erdos_renyi,0.75,9,200,101,40.316602060416265
50,0.75,barabasi_albert,2.0,3,500,4,1.8027777777777778
25,0.1,complete,5.0,3,100,4,1.856666666666667
25,0.75,erdos_renyi,10.0,9,500,501,221.6542656241361
100,0.75,complete,1.0,5,200,51,23.789089439655175
50,0.75,barabasi_albert,5.0,10,100,11,4.9625
25,0.1,erdos_renyi,2.0,8,50,51,16.848890567765565
100,0.5,barabasi_albert,5.0,10,200,51,20.38877551020408
25,0.75,barabasi_albert,10.0,5,1000,11,4.829411764705882
75,0.25,complete,5.0,9,100,4,1.948051948051948
50,0.75,erdos_renyi,5.0,6,200,51,23.11586156454565
10,0.75,barabasi_albert,1.0,5,500,4,1.5833333333333335
75,0.99,erdos_renyi,1.0,8,500,4,1.9258327083985338
75,0.75,erdos_renyi,10.0,3,1000,501,229.08418271420086
90,0.1,barabasi_albert,1.0,8,1000,101,23.958823529411767
75,0.1,complete,0.75,7,100,11,4.63971119133574
100,0.25,complete,2.0,2,1000,101,46.04163298302345
10,0.25,complete,1.0,7,100,4,1.609090909090909
10,0.25,erdos_renyi,10.0,6,1000,101,23.056313131313132
25,0.1,barabasi_albert,2.0,2,100,4,1.6
90,0.1,complete,10.0,10,500,11,5.149249999999999
100,0.5,complete,10.0,6,200,4,1.9689696969696968
100,0.5,barabasi_albert,10.0,2,100,51,20.496938775510202
10,0.1,barabasi_albert,1.0,8,50,501,71.9
10,0.99,erdos_renyi,0.75,10,200,4,1.750183227625088
25,0.9,barabasi_albert,2.0,5,50,11,4.3585365853658535
100,0.25,erdos_renyi,10.0,9,500,11,5.278063058054002
100,0.9,barabasi_albert,5.0,5,500,51,19.685227272727275
100,0.9,barabasi_albert,10.0,4,500,101,37.60852272727273
25,0.25,complete,1.0,3,50,4,1.7146666666666668
90,0.5,erdos_renyi,5.0,4,200,4,1.9383300005955952
90,0.25,barabasi_albert,5.0,5,100,51,16.325
25,0.75,complete,5.0,3,100,11,4.896444444444445
10,0.9,erdos_renyi,0.75,8,200,11,4.540948547576455
10,0.75,complete,5.0,4,100,101,34.912121212121214
10,0.99,complete,10.0,9,100,4,1.8886363636363641
90,0.9,barabasi_albert,0.75,10,50,11,4.769620253164557
50,0.5,erdos_renyi,5.0,8,200,11,5.1137812610078255
100,0.9,erdos_renyi,5.0,6,100,4,1.9569183616442536
50,0.75,erdos_renyi,2.0,3,200,11,4.994376123339956
25,0.9,barabasi_albert,1.0,8,1000,11,4.270731707317074
25,0.75,complete,10.0,3,50,4,1.9435555555555557
25,0.75,complete,10.0,9,500,51,22.764888888888887
50,0.99,complete,10.0,7,1000,11,5.250660066006601
75,0.1,barabasi_albert,0.75,9,200,101,25.192857142857143
75,0.25,erdos_renyi,0.75,6,50,4,1.8457769019641208
90,0.5,barabasi_albert,0.75,2,50,51,19.738636363636363
90,0.5,barabasi_albert,2.0,7,200,101,34.23522727272727
90,0.1,erdos_renyi,2.0,7,1000,101,42.24908953617996
100,0.75,erdos_renyi,10.0,5,50,51,23.835418867380437
50,0.9,complete,5.0,10,500,101,47.25326678765881
10,0.5,complete,1.0,8,50,4,1.7136363636363636
25,0.5,complete,1.0,2,200,101,43.721333333333334
75,0.75,complete,1.0,8,200,11,5.204565112926478
100,0.99,erdos_renyi,2.0,9,1000,51,24.547062701293775
25,0.1,complete,5.0,6,500,501,154.91333333333336
75,0.25,erdos_renyi,1.0,5,1000,4,1.8392717128631506
90,0.99,barabasi_albert,5.0,4,500,101,37.07528735632184
10,0.5,complete,1.0,6,200,11,3.8000000000000007
10,0.1,complete,10.0,6,100,4,1.7
90,0.9,complete,2.0,7,50,4,1.93834628190899
25,0.75,complete,10.0,7,500,51,22.153333333333332
50,0.5,barabasi_albert,10.0,4,100,501,162.08333333333331
25,0.1,erdos_renyi,10.0,6,100,4,1.8744865101707204
75,0.1,erdos_renyi,0.75,8,100,4,1.8284460717194144
100,0.9,erdos_renyi,2.0,3,200,4,1.919445854293889
10,0.5,barabasi_albert,5.0,8,50,11,4.3125
10,0.99,complete,0.75,5,500,51,19.615909090909092
25,0.25,complete,1.0,6,50,51,19.217333333333332
10,0.99,erdos_renyi,10.0,8,50,4,1.9055050505050506
25,0.75,erdos_renyi,10.0,9,100,101,44.33117329943838
90,0.99,complete,10.0,10,100,51,24.530600403632693
25,0.25,erdos_renyi,1.0,8,1000,11,4.510842165291175
100,0.1,barabasi_albert,5.0,2,1000,51,15.284210526315785
10,0.75,erdos_renyi,10.0,4,200,11,4.786233995913537
10,0.25,barabasi_albert,1.0,9,50,4,1.6
75,0.1,complete,10.0,4,200,501,188.24440433212993
50,0.9,barabasi_albert,10.0,9,100,4,1.9279069767441865
10,0.75,barabasi_albert,1.0,5,100,4,1.625
25,0.5,erdos_renyi,10.0,6,100,101,42.12989744439052
25,0.75,complete,2.0,8,50,101,44.99377777777779
10,0.99,erdos_renyi,2.0,8,200,11,4.593181818181819
10,0.1,complete,5.0,3,500,51,12.2
90,0.5,erdos_renyi,0.75,5,1000,4,1.8759664897414496
10,0.99,barabasi_albert,2.0,10,1000,101,31.766666666666662
90,0.5,barabasi_albert,2.0,4,200,51,17.15454545454545
75,0.9,complete,1.0,2,500,4,1.914297156587906
90,0.1,barabasi_albert,1.0,10,200,4,1.688235294117647
50,0.75,barabasi_albert,10.0,10,50,11,5.0055555555555555
100,0.1,erdos_renyi,2.0,4,200,51,20.503922660663186
100,0.5,erdos_renyi,10.0,7,500,101,47.12170257337494
10,0.25,erdos_renyi,2.0,3,500,4,1.5793561993561993
100,0.75,erdos_renyi,2.0,10,100,4,1.9519159757273037
25,0.5,erdos_renyi,2.0,3,1000,4,1.8039974894666457
75,0.99,erdos_renyi,0.75,3,200,11,5.11060091391027
50,0.25,complete,1.0,7,100,101,43.52647058823529
25,0.25,complete,2.0,8,500,11,4.565333333333333
50,0.25,complete,5.0,10,100,501,224.72581699346406
100,0.25,barabasi_albert,10.0,9,200,101,37.5
90,0.25,complete,10.0,3,100,11,5.103896103896103
50,0.5,complete,0.75,8,500,11,5.060294117647059
90,0.9,erdos_renyi,5.0,8,50,101,48.16270253209951
100,0.75,complete,10.0,10,1000,51,24.43235452586207
25,0.5,complete,0.75,9,100,4,1.8439999999999999
75,0.5,barabasi_albert,1.0,4,50,11,3.8986301369863012
100,0.75,complete,0.75,5,50,4,1.9126885775862068
90,0.5,complete,1.0,5,500,51,23.230069930069934
75,0.99,barabasi_albert,2.0,5,100,101,37.06944444444444
90,0.75,complete,10.0,7,50,101,47.814885114885115
50,0.1,erdos_renyi,2.0,4,500,51,18.188255260085967
75,0.75,complete,10.0,3,50,51,23.400576645843344
10,0.9,erdos_renyi,10.0,9,1000,51,21.246757057463242
25,0.9,erdos_renyi,10.0,7,1000,501,218.8870031697567
10,0.99,erdos_renyi,5.0,6,50,501,195.85086445853887
90,0.1,complete,2.0,9,100,4,1.8972500000000003
25,0.99,barabasi_albert,0.75,2,50,4,1.7022222222222223
25,0.5,complete,5.0,2,1000,101,44.29533333333333
50,0.1,erdos_renyi,2.0,5,50,101,35.91004500063186
50,0.75,complete,0.75,4,200,4,1.8444444444444443
90,0.1,barabasi_albert,2.0,8,500,101,25.88235294117647
100,0.5,barabasi_albert,10.0,7,500,4,1.8928571428571428
90,0.99,barabasi_albert,0.75,9,200,4,1.8356321839080458
90,0.25,barabasi_albert,0.75,8,50,51,15.418181818181818
50,0.9,barabasi_albert,0.75,5,1000,4,1.6790697674418602
25,0.99,barabasi_albert,10.0,5,500,101,36.068888888888885
90,0.1,erdos_renyi,0.75,3,50,4,1.7506869908656661
90,0.9,complete,1.0,2,500,51,24.234794672586016
50,0.75,complete,2.0,9,500,4,1.9193899782135078
75,0.1,complete,10.0,3,500,11,4.977617328519856
90,0.1,barabasi_albert,5.0,9,1000,11,4.435294117647059
90,0.9,barabasi_albert,1.0,6,100,51,19.01012658227848
75,0.25,complete,2.0,9,100,11,5.072438672438673
25,0.99,complete,10.0,7,500,11,5.127609427609428
100,0.9,erdos_renyi,2.0,9,50,51,24.48142625264685
10,0.75,erdos_renyi,5.0,6,1000,4,1.8377011060834594
50,0.75,complete,1.0,4,1000,4,1.8491285403050113
25,0.1,erdos_renyi,2.0,7,50,11,4.361551181510756
90,0.1,barabasi_albert,5.0,6,200,101,26.49411764705882
75,0.99,barabasi_albert,5.0,2,50,501,198.58124999999998
90,0.75,barabasi_albert,2.0,8,100,11,4.687878787878789
25,0.9,erdos_renyi,5.0,8,50,11,5.12520273761657
25,0.5,complete,5.0,10,100,51,22.18733333333333
10,0.1,erdos_renyi,0.75,8,500,101,23.618733766233767
75,0.9,erdos_renyi,5.0,5,200,4,1.946910753550199
25,0.99,erdos_renyi,2.0,7,500,101,45.139504783430326
100,0.9,complete,10.0,2,50,501,238.14101010101007
50,0.5,barabasi_albert,2.0,4,50,11,4.179166666666666
10,0.9,complete,5.0,4,1000,4,1.7724999999999997
10,0.25,barabasi_albert,0.75,4,500,101,28.475
25,0.75,erdos_renyi,5.0,8,50,11,5.099868794005081
75,0.25,barabasi_albert,2.0,4,100,51,15.8
75,0.99,complete,10.0,3,500,501,230.99115398616672
25,0.99,erdos_renyi,1.0,5,50,101,44.04248221928168
10,0.25,barabasi_albert,1.0,5,100,51,14.25
75,0.99,erdos_renyi,10.0,4,50,51,23.67776414269369
100,0.75,erdos_renyi,10.0,5,200,11,5.258732410936281
90,0.1,barabasi_albert,0.75,10,500,51,12.982352941176469
75,0.5,erdos_renyi,5.0,2,100,501,232.96191318749874
10,0.99,barabasi_albert,10.0,3,200,501,176.20666666666668
10,0.1,erdos_renyi,0.75,2,50,4,1.592857142857143
