num_agents,edge_density,graph_type,dsa_threshold,num_actions,num_iterations,cost_range,y
25,0.1,complete,0.75,3,200,501,186.33333333333334
25,0.5,complete,0.9,9,1000,501,215.69333333333336
100,0.25,erdos_renyi,0.25,6,200,4,1.9586443785297254
100,0.9,complete,0.9,3,100,51,24.274971941638608
10,0.1,erdos_renyi,0.9,3,500,51,8.638888888888888
100,0.25,barabasi_albert,0.5,2,1000,501,218.96598639455783
10,0.75,complete,0.1,9,50,501,214.08080808080808
10,0.1,barabasi_albert,0.5,5,1000,11,1.0
90,0.1,complete,0.1,7,200,4,1.9174999999999998
50,0.1,complete,0.5,10,200,11,5.024590163934427
10,0.1,complete,0.9,8,50,4,1.25
90,0.1,barabasi_albert,0.99,3,200,101,28.41176470588235
100,0.25,barabasi_albert,0.5,4,200,501,203.65986394557822
90,0.75,barabasi_albert,0.75,3,1000,101,41.36616161616161
25,0.1,erdos_renyi,0.99,3,50,101,31.09106542439876
25,0.5,erdos_renyi,0.5,10,1000,11,5.0102772143340095
75,0.75,barabasi_albert,0.99,10,50,101,42.10091743119266
90,0.99,barabasi_albert,0.99,6,100,501,195.404214559387
90,0.5,barabasi_albert,0.9,7,1000,4,1.534090909090909
25,0.1,erdos_renyi,0.99,2,500,11,3.6973749967121705
90,0.5,complete,0.25,9,1000,51,24.935064935064933
25,0.99,complete,0.9,8,500,11,4.956228956228956
75,0.5,barabasi_albert,0.5,2,50,501,236.15981735159815
25,0.5,erdos_renyi,0.99,6,200,51,21.10523290719399
75,0.5,complete,0.75,9,500,11,5.281903388608508
50,0.9,barabasi_albert,0.9,7,100,101,40.968992248062015
25,0.5,complete,0.1,2,1000,4,2.022222222222222
100,0.1,erdos_renyi,0.99,4,1000,11,4.3864557613168715
10,0.5,barabasi_albert,0.9,10,50,51,15.916666666666666
10,0.25,complete,0.99,8,500,101,21.6969696969697
75,0.25,barabasi_albert,0.9,7,1000,101,33.25925925925926
75,0.75,complete,0.25,4,1000,11,5.392759891078008
100,0.99,erdos_renyi,0.99,6,500,4,1.9281040952716715
75,0.5,barabasi_albert,0.75,3,500,4,1.634703196347032
25,0.9,barabasi_albert,0.5,6,200,101,41.39024390243902
10,0.75,barabasi_albert,0.1,4,500,501,194.75
50,0.5,erdos_renyi,0.9,7,1000,101,45.88579730133997
50,0.5,barabasi_albert,0.1,2,100,51,28.79861111111111
25,0.25,complete,0.9,3,200,51,20.32
25,0.75,barabasi_albert,0.9,3,1000,4,1.5784313725490196
100,0.75,erdos_renyi,0.99,9,500,11,5.286562415201911
10,0.75,barabasi_albert,0.25,6,1000,501,168.44444444444446
100,0.99,erdos_renyi,0.25,7,500,11,5.419852762718399
10,0.75,complete,0.9,8,50,501,206.63636363636363
100,0.99,barabasi_albert,0.1,5,200,501,237.7353951890034
100,0.99,erdos_renyi,0.99,10,100,11,5.330777694499338
90,0.9,erdos_renyi,0.5,10,200,51,24.94874464532452
25,0.25,erdos_renyi,0.1,8,500,11,4.8947682173488625
10,0.25,complete,0.9,2,200,4,1.484848484848485
25,0.75,complete,0.99,4,50,501,210.08888888888887
25,0.75,barabasi_albert,0.1,9,1000,4,1.7549019607843137
25,0.5,erdos_renyi,0.75,9,50,4,1.8639786247227264
