num_agents,edge_density,graph_type,dsa_threshold,num_actions,num_iterations,cost_range,y
75,0.99,erdos_renyi,0.75,3,1000,11,5.243184296619411
25,0.75,erdos_renyi,0.9,2,200,4,1.8305084745762712
90,0.75,complete,0.75,5,50,501,238.12720612720614
10,0.9,barabasi_albert,0.5,2,200,51,18.0
25,0.25,erdos_renyi,0.1,3,500,101,42.329268292682926
50,0.99,erdos_renyi,0.1,10,200,501,239.54439834024896
100,0.75,barabasi_albert,0.1,9,500,51,21.843537414965986
75,0.99,barabasi_albert,0.5,7,100,11,4.826388888888889
50,0.1,barabasi_albert,0.5,2,50,51,17.555555555555557
90,0.99,erdos_renyi,0.5,9,50,501,242.50667338201964
25,0.1,erdos_renyi,0.9,7,1000,51,14.34375
25,0.9,erdos_renyi,0.75,10,1000,101,44.20532319391635
50,0.75,barabasi_albert,0.99,8,500,101,32.15277777777778
25,0.99,barabasi_albert,0.9,4,200,11,3.7777777777777777
25,0.5,barabasi_albert,0.9,2,200,4,1.391304347826087
90,0.75,complete,0.1,5,100,11,5.4015984015984015
75,0.1,erdos_renyi,0.25,5,1000,501,222.31386861313868
75,0.75,complete,0.25,7,1000,101,48.401729937530035
90,0.25,barabasi_albert,0.1,9,200,51,17.704545454545453
90,0.5,barabasi_albert,0.99,2,1000,4,1.5681818181818181
10,0.9,barabasi_albert,0.5,5,500,4,1.4285714285714286
90,0.99,erdos_renyi,0.5,8,1000,4,1.9426912395859632
100,0.25,erdos_renyi,0.99,6,1000,11,4.8802992518703245
100,0.75,erdos_renyi,0.9,10,50,4,1.9427041499330655
10,0.5,erdos_renyi,0.9,6,1000,101,26.05263157894737
25,0.75,barabasi_albert,0.5,9,1000,51,16.58823529411765
90,0.1,barabasi_albert,0.9,6,50,4,1.3529411764705883
100,0.5,barabasi_albert,0.5,4,200,101,40.03061224489796
100,0.1,erdos_renyi,0.1,10,200,101,46.63983903420523
25,0.25,erdos_renyi,0.5,7,1000,501,188.8181818181818
10,0.1,barabasi_albert,0.75,4,100,101,2.0
25,0.75,erdos_renyi,0.5,2,500,4,1.8770491803278688
50,0.9,complete,0.5,6,50,101,48.439201451905625
50,0.25,complete,0.9,5,200,11,4.647058823529412
10,0.99,erdos_renyi,0.75,9,1000,11,3.7111111111111112
100,0.99,barabasi_albert,0.75,7,1000,11,4.587628865979381
75,0.9,barabasi_albert,0.5,2,100,51,22.435114503816795
90,0.25,erdos_renyi,0.5,10,1000,101,47.02044989775051
50,0.1,erdos_renyi,0.9,6,200,501,179.6315789473684
50,0.9,barabasi_albert,0.1,2,50,51,27.011627906976745
75,0.5,barabasi_albert,0.99,4,1000,501,152.34246575342465
100,0.99,erdos_renyi,0.9,7,500,11,5.259380097879283
90,0.9,complete,0.1,9,1000,51,24.72641509433962
25,0.75,complete,0.5,3,200,101,44.266666666666666
10,0.25,complete,0.75,9,1000,4,1.1818181818181819
25,0.9,erdos_renyi,0.75,7,500,4,1.7969924812030076
25,0.9,erdos_renyi,0.75,5,200,501,203.98091603053436
100,0.99,barabasi_albert,0.25,10,200,4,1.8350515463917525
50,0.99,barabasi_albert,0.1,2,200,101,51.126315789473686
50,0.5,barabasi_albert,0.9,5,1000,11,3.6458333333333335
50,0.1,barabasi_albert,0.99,10,100,501,156.11111111111111
50,0.25,barabasi_albert,0.99,4,50,4,1.5416666666666667
75,0.9,barabasi_albert,0.5,7,100,11,4.595419847328245
25,0.75,complete,0.5,2,100,4,1.8844444444444444
25,0.9,barabasi_albert,0.75,9,500,51,17.926829268292682
10,0.25,complete,0.9,2,200,51,12.545454545454545
100,0.5,erdos_renyi,0.25,8,200,501,241.87576875768758
100,0.1,erdos_renyi,0.5,3,200,4,1.8373101952277657
10,0.99,complete,0.5,6,100,4,1.6590909090909092
75,0.9,complete,0.99,9,500,501,234.1698037645174
25,0.9,erdos_renyi,0.75,5,1000,501,214.87878787878788
75,0.99,complete,0.25,8,1000,51,24.499453949763378
100,0.25,barabasi_albert,0.5,7,50,101,40.08163265306123
